t,x,y,phi,xg,yg,e,theta,alpha,v,w
1.1505472999997437,0.5398181104396524,-0.21696636553528847,0.08924579049121566,-1.4999999999999984,-1.1749999999999992,2.253594100197116,-2.7025052007406902,-2.791750991231906,-0.21170871328264548,-2.855119216147685
1.2041780999861658,0.6567209873810862,-0.19822514622667387,0.4634138210063963,-1.4999999999999984,-1.1749999999999992,2.367601007850339,-2.7163312743926284,-3.1797450953990247,-0.23658780664097068,-3.1726775011460746
1.2503752000629902,0.8031617566346416,-0.12392185285573123,0.5503793207087615,-1.4999999999999984,-1.1749999999999992,2.5316633561017916,-2.713459748739557,-3.263839069448318,-0.25127700781327633,-3.2416736003704623
1.300101300003007,0.9038329564048453,-0.060914120241891946,0.8192674210990876,-1.4999999999999984,-1.1749999999999992,2.6494528170500504,-2.7076000701061056,-3.526867491205193,-0.24552351549160878,-3.4653044731744798
1.3550728000700474,1.008435257007464,0.05963083433519051,1.1948123703179867,-1.4999999999999984,-1.1749999999999992,2.795811283990624,-2.684211231451095,-3.879023601769082,-0.2069455040387132,-3.794813545662513
1.4001317000947893,1.0425847976006608,0.14731176719130396,1.4632511454347685,-1.4999999999999984,-1.1749999999999992,2.8658761073435417,-2.6620214536292863,-4.125272599064055,-0.1587588171187531,-4.0493920656104425
1.4554251001682132,1.0594619827469396,0.1742857561414382,1.7860896896524905,-1.4999999999999984,-1.1749999999999992,2.893340231091577,-2.6564417084653464,-4.442531398117837,-0.07713476545580512,-4.401472564963518
1.501528900116682,1.0892702675042896,0.141225704172629,2.1500958343860472,-1.4999999999999984,-1.1749999999999992,2.9046119573028095,-2.671296536696862,-4.82139237108291,0.03159859397590898,-4.838198188855577
1.55498390016146,1.0639530438263312,0.1840411862421341,2.4720664297715667,-1.4999999999999984,-1.1749999999999992,2.901869769105555,-2.6541895971896845,-5.126256026961251,0.11669953073035766,-5.182140109291961
1.6016174999531358,0.9549292442546845,0.2623932952560282,2.5573923861105947,-1.4999999999999984,-1.1749999999999992,2.8447806733637395,-2.6118933744970505,-5.169285760607645,0.12550185931471686,-5.228881445972003
1.6556260001379997,0.8090295169500676,0.3587554440091018,2.5524099093374484,-1.4999999999999984,-1.1749999999999992,2.7720070476415115,-2.5552702260386377,-5.107680135376086,0.10674359016150167,-5.160997311721733
1.7034008000046015,0.6864167197164187,0.44121144118056066,2.426531938241882,-1.4999999999999984,-1.1749999999999992,2.7189257979684625,-2.5050358426695856,-4.931567780911468,0.059117098752257666,-4.963570668463602
1.7514178999699652,0.5919867121540927,0.5299413778634748,2.1450605878731976,-1.4999999999999984,-1.1749999999999992,2.698746654612153,-2.4577800406257917,-4.602840628498989,-0.0295052274934671,-4.586170359273676
1.8042401000857353,0.5495651346542674,0.5944367943044543,2.006652270302489,-1.4999999999999984,-1.1749999999999992,2.707697141526131,-2.4294145515147316,-4.436066821817221,-0.07387117083156848,-4.395445656944287
1.8511389000341296,0.5450977379652326,0.6127823727510995,2.1081670305282643,-1.4999999999999984,-1.1749999999999992,2.7163561199058663,-2.4232275912006593,-4.531394621728923,-0.04889652300767705,-4.504218953519496
1.9056967999786139,0.5638155011408317,0.6195131090761186,2.5323658660836235,-1.4999999999999984,-1.1749999999999992,2.7348878809551245,-2.4258791571753355,-4.958245023258959,0.06656353771226767,-4.993401712386191
1.951775300083682,0.5384455852765538,0.6432416725075933,2.818348358131449,-1.4999999999999984,-1.1749999999999992,2.73153128918134,-2.4132292132045743,-5.2315775713360235,0.13553197718482823,-5.29452822708298
2.004482600139454,0.45404867080345745,0.6672506334235211,2.806388455020753,-1.4999999999999984,-1.1749999999999992,2.68555275580617,-2.385635197061277,-5.19202365208203,0.12392620165156112,-5.2517727750334045
2.0502599000465125,0.3434628990785674,0.7091083528997791,2.5362061530127047,-1.4999999999999984,-1.1749999999999992,2.6359475992033428,-2.3452909177828007,-4.881497070795506,0.044363849343945945,-4.906058013185797
2.106071300106123,0.24203193480962798,0.7852760524978926,2.457762392043767,-1.4999999999999984,-1.1749999999999992,2.622471632619367,-2.2973145014496548,-4.755076893493422,0.011191384464090102,-4.761400372201335
2.1519856001250446,0.19301602020610914,0.8303975055517505,2.6701017038272044,-1.4999999999999984,-1.1749999999999992,2.6244851685516735,-2.2719308478269697,-4.942032551654174,0.05974127829356301,-4.974387828288044
2.205317300045863,0.10232087593500158,0.8692104034498817,-3.1124741362237733,-1.4999999999999984,-1.1749999999999992,2.5973502580572054,-2.2356017029727147,0.8768724332510587,0.16611575943877607,0.9530553602880718
2.2505743999499828,-0.04226692124782094,0.8534475173916795,-2.875204110254233,-1.4999999999999984,-1.1749999999999992,2.4979161434485277,-2.193926228588042,0.6812778816661909,0.19403027282739818,0.7898950401773754
2.303184099961072,-0.20627839302896733,0.8024334632941544,-2.6539255307558554,-1.4999999999999984,-1.1749999999999992,2.3630401389098785,-2.150148403909101,0.5037771268467544,0.2069468922513133,0.641938804877352
2.3500727999489754,-0.3321183826425417,0.7287128231505531,-2.4629998417584535,-1.4999999999999984,-1.1749999999999992,2.233398751944962,-2.1210655744848426,0.341934267273611,0.21041024945031073,0.5063004662841828
2.4004661000799388,-0.4612995907000147,0.6154826386990505,-2.314560040374915,-1.4999999999999984,-1.1749999999999992,2.06995812029197,-2.096472258000958,0.21808778237395732,0.2020926954788853,0.40002661366115766
2.45302340015769,-0.5749214580910452,0.4851244959860411,-2.2190793858137767,-1.4999999999999984,-1.1749999999999992,1.9004693238443233,-2.079176836994076,0.13990254881970055,0.1881900959646684,0.3313094061998465
2.5012068999931216,-0.6651928798863127,0.36543359814965626,-2.21254555404757,-1.4999999999999984,-1.1749999999999992,1.7520954877234287,-2.067422625088711,0.14512292895885892,0.17336776984026922,0.33466525038445116
