t,x,y,theta,xg,yg,D,eD,phi,alpha,v,w
1.5036119000287727,1.9558635997325187,-2.1221991880449327,1.8754924251796454,-2.0,-2.0,3.9577505557131265,-3.9567505557131266,3.110711826076967,-1.2352194008973216,0.13030132333857578,1.2663060436626292
1.5528108000289649,1.9567531937504323,-2.1154195242206737,1.9423244887915303,-2.0,-2.0,3.9584362446331727,-3.957436244633173,3.112430661853044,-1.1701061730615139,0.15436135330311695,1.2060129536533644
1.6019986000610515,1.9564955414554892,-2.1074065757132865,2.0052594645066044,-2.0,-2.0,3.957953150564521,-3.9569531505645212,3.1144524226252845,-1.1091929581186801,0.17623645645886057,1.1490598945678112
1.6523495999863371,1.9549541517249014,-2.098464193723912,2.064644794695645,-2.0,-2.0,3.9561796647386647,-3.955179664738665,3.1167013770367937,-1.0520565823411485,0.19609229806039366,1.095101976814548
1.7039857000345364,1.9523051031654464,-2.0887779387773526,2.121254653489784,-2.0,-2.0,3.953302056625725,-3.952302056625725,3.119134111084062,-0.9978794575942778,0.2142485496799354,1.0434206427906851
1.7539653000421822,1.9485466430482403,-2.0785176228943145,2.2267739723977713,-2.0,-2.0,3.9493272350404824,-3.9483272350404826,3.1217100782339635,-0.8949361058361922,0.24699498010441004,0.9437286831463443
1.8048028000630438,1.943650612020193,-2.067897464622386,2.2267739723977713,-2.0,-2.0,3.9442350608691403,-3.9432350608691404,3.124377447748849,-0.8976034753510778,0.24585496614050775,0.9463373880509893
1.8536932000424713,1.9376807489672576,-2.0570240790442953,2.2754980373937026,-2.0,-2.0,3.9380936284423447,-3.937093628442345,3.1271120247991266,-0.851613987405424,0.2593638105359254,0.9011635889763556
1.903567900066264,1.9308689664154006,-2.0462515399395524,2.3228978643998612,-2.0,-2.0,3.9311410603124455,-3.9301410603124456,3.1298269585003857,-0.8069290941005245,0.2718554800710593,0.8568700360032612
1.9517759999725968,1.9234528450798112,-2.035654944295097,2.3708452626647847,-2.0,-2.0,3.9236148514625584,-3.9226148514625585,3.13250525934115,-0.7616599966763653,0.2838762654235517,0.8115909282124609
2.0030365000711754,1.9147817306157797,-2.0247911701602996,2.4552986003222768,-2.0,-2.0,3.9148602274514217,-3.913860227451422,3.135260030094413,-0.6799614297721361,0.3043405857246438,0.7288413637781866
2.0549671000335366,1.9049423917816921,-2.013954566830963,2.4552986003222768,-2.0,-2.0,3.9049673254803507,-3.903967325480351,3.1380191034500706,-0.6827205031277939,0.3028929005063813,0.7316573975138927
2.1031811999855563,1.8941189851870572,-2.003312101633342,2.4929266383547297,-2.0,-2.0,3.8941203937232736,-3.8931203937232737,3.140742114392798,-0.6478154760380681,0.31043895493730583,0.6959221330737972
2.1542961000232026,1.8825237837397868,-1.9928654236270702,2.528900194382656,-2.0,-2.0,3.8825303390295782,-3.8815303390295783,-3.1397550426079635,5.668655236990619,0.31713829635192275,-5.621558658040154
2.2034256000770256,1.8704723240943124,-1.982870538937386,2.560437154376152,-2.0,-2.0,3.8705102286412223,-3.8695102286412224,-3.1371670052984406,5.697604159674593,0.32248151375866246,-5.651555887606194
2.252240900066681,1.8580790759399899,-1.9735304305395314,2.5835625359949983,-2.0,-2.0,3.8581698762902326,-3.8571698762902327,-3.1347319455439853,5.718294481538983,0.32579471537649113,-5.673090250712403
2.303326499997638,1.8453350234436443,-1.9648583187863498,2.597832672195077,-2.0,-2.0,3.845495596185341,-3.8444955961853413,-3.132454125285998,5.7302867974810745,0.3271688546364166,-5.6856073253452015
2.35220580000896,1.8322406811269585,-1.9567172378799618,2.603277097566352,-2.0,-2.0,3.8324850991988413,-3.8314850991988414,-3.130298759119866,5.733575856686218,0.3267216894967745,-5.689044839839693
2.4020624000113457,1.8189716709207453,-1.9490033951615,2.599304971119296,-2.0,-2.0,3.819312147101915,-3.8183121471019152,-3.1282399559551237,5.72754492707442,0.3243896043046964,-5.682743287652924
2.452743100002408,1.8056195019371457,-1.9416189257918783,2.5856449025016155,-2.0,-2.0,3.8060672804549873,-3.8050672804549874,-3.1262531024211313,5.711898004922746,0.32008439359851387,-5.666424674445134
2.501867300015874,1.792313977277627,-1.9345002834744407,2.5619464111473143,-2.0,-2.0,3.792879580888402,-3.791879580888402,-3.1243226688329435,5.686269079980258,0.31361609055984657,-5.639792011206585
2.551145000034012,1.7791887386146557,-1.9275661344493238,2.5279787468981523,-2.0,-2.0,3.779882827145631,-3.778882827145631,-3.122428488245692,5.650407235143844,0.3047244653437882,-5.602731111612554
2.602553099975921,1.7664231244350517,-1.920864866257309,2.4832971651166336,-2.0,-2.0,3.767254374431274,-3.766254374431274,-3.1205850584510317,5.603882223567665,0.2930186375657859,-5.5550165977160235
